year,scenario,co2mass
2094,ssp245,4678725000000000.0
2095,ssp245,4683068000000000.0
2096,ssp245,4686832000000000.0
2097,ssp245,4690090300000000.0
2098,ssp245,4693069000000000.0
2099,ssp245,4695495000000000.0
2100,ssp245,4697640300000000.0
2015,ssp585,3116720000000000.0
2016,ssp585,3140137600000000.0
2017,ssp585,3161838000000000.0
2018,ssp585,3184748000000000.0
2019,ssp585,3208299800000000.0
2020,ssp585,3232424300000000.0
2021,ssp585,3257333300000000.0
2022,ssp585,3282922000000000.0
2023,ssp585,3309256500000000.0
2024,ssp585,3336506000000000.0
2025,ssp585,3364608700000000.0
2026,ssp585,3393633800000000.0
2027,ssp585,3423514000000000.0
2028,ssp585,3454122000000000.0
2029,ssp585,3485696700000000.0
2030,ssp585,3518080000000000.0
2031,ssp585,3551327800000000.0
2032,ssp585,3585522200000000.0
2033,ssp585,3620700400000000.0
2034,ssp585,3657023200000000.0
2035,ssp585,3694231300000000.0
2036,ssp585,3732581900000000.0
2037,ssp585,3771814800000000.0
2038,ssp585,3812399500000000.0
2039,ssp585,3853874200000000.0
2040,ssp585,3896194600000000.0
2041,ssp585,3939917700000000.0
2042,ssp585,3984770500000000.0
2043,ssp585,4030460400000000.0
2044,ssp585,4077585800000000.0
2045,ssp585,4125898300000000.0
2046,ssp585,4175393300000000.0
2047,ssp585,4225989900000000.0
2048,ssp585,4278059400000000.0
2049,ssp585,4331340600000000.0
2050,ssp585,4385742500000000.0
2051,ssp585,4441476100000000.0
2052,ssp585,4498828200000000.0
2053,ssp585,4557350000000000.0
2054,ssp585,4617790500000000.0
2055,ssp585,4679500000000000.0
2056,ssp585,4742709600000000.0
2057,ssp585,4807606000000000.0
2058,ssp585,4874063600000000.0
2059,ssp585,4942031500000000.0
2060,ssp585,5011886000000000.0
2061,ssp585,5082960700000000.0
2062,ssp585,5155814000000000.0
2063,ssp585,5230249000000000.0
2064,ssp585,5306370000000000.0
2065,ssp585,5383670600000000.0
2066,ssp585,5463114600000000.0
2067,ssp585,5543859000000000.0
2068,ssp585,5626468000000000.0
2069,ssp585,5710433400000000.0
2070,ssp585,5796532400000000.0
2071,ssp585,5883970400000000.0
2072,ssp585,5973248300000000.0
2073,ssp585,6063675600000000.0
2074,ssp585,6155335000000000.0
2075,ssp585,6248664000000000.0
2076,ssp585,6343836000000000.0
2077,ssp585,6440007600000000.0
2078,ssp585,6537656000000000.0
2079,ssp585,6637352000000000.0
2080,ssp585,6738131000000000.0
2081,ssp585,6840550000000000.0
2082,ssp585,6943512600000000.0
2083,ssp585,7046961700000000.0
2084,ssp585,7150535000000000.0
2085,ssp585,7255087000000000.0
2086,ssp585,7359842500000000.0
2087,ssp585,7464594600000000.0
2088,ssp585,7570713600000000.0
2089,ssp585,7676373000000000.0
2090,ssp585,7782809300000000.0
2091,ssp585,7889742700000000.0
2092,ssp585,7996907000000000.0
2093,ssp585,8104210300000000.0
2094,ssp585,8210418400000000.0
2095,ssp585,8317356600000000.0
2096,ssp585,8424556300000000.0
2097,ssp585,8531509600000000.0
2098,ssp585,8637917400000000.0
2099,ssp585,8744199000000000.0
2100,ssp585,8851110000000000.0
