year,tas,scenario
1965,12.590624946421542,historical
1966,12.631854352545076,historical
1967,12.682110638438019,historical
1968,12.619460971399974,historical
1969,12.790396815031158,historical
1970,12.890481926999712,historical
1971,12.850637544593269,historical
1972,12.77178581232863,historical
1973,12.711386377207532,historical
1974,12.803386226619807,historical
1975,12.76385965928597,historical
1976,12.962898761695499,historical
1977,12.831985180834977,historical
1978,12.83261283965362,historical
1979,12.943788448701639,historical
1980,12.933797079687565,historical
1981,12.75272638466356,historical
1982,12.905887628179528,historical
1983,12.836646311496395,historical
1984,12.846368763933413,historical
1985,12.791388018983923,historical
1986,13.035457472279347,historical
1987,13.250606370508535,historical
1988,13.117083472266813,historical
1989,13.100094202045454,historical
1990,13.053356991483156,historical
1991,13.152073133321153,historical
1992,12.92752654524628,historical
1993,12.84777181331134,historical
1994,12.91644935136975,historical
1995,13.010257985512283,historical
1996,13.15625296126342,historical
1997,13.275379037256585,historical
1998,13.295988148669153,historical
1999,13.150962603362757,historical
2000,13.401188747271647,historical
2001,13.477313180742556,historical
2002,13.414845982518898,historical
2003,13.425422272327921,historical
2004,13.583278097377672,historical
2005,13.555898316596597,historical
2006,13.57697610131953,historical
2007,13.618612225698826,historical
2008,13.615596293365684,historical
2009,13.46776225261948,historical
2010,13.628078097425771,historical
2011,13.758123587014268,historical
2012,13.655416444948003,historical
2013,13.675888090193382,historical
2014,13.78858151985304,historical
2015,13.817079664335836,ssp245
2016,13.779590244244673,ssp245
2017,13.701541720789407,ssp245
2018,13.802563005508034,ssp245
2019,13.800873463615119,ssp245
2020,13.83441856592816,ssp245
2021,13.939790737733404,ssp245
2022,14.023747090880704,ssp245
2023,14.038430917722337,ssp245
2024,14.04532657235535,ssp245
2025,14.169146206072924,ssp245
2026,14.256604421108989,ssp245
2027,14.168668172280888,ssp245
2028,14.147083174775275,ssp245
2029,14.291674570257953,ssp245
2030,14.36190064794971,ssp245
2031,14.20060633217912,ssp245
2032,14.18640927145276,ssp245
2033,14.169968610864942,ssp245
2034,14.323860358258514,ssp245
2035,14.366233394214419,ssp245
2036,14.467432085610653,ssp245
2037,14.468869563040641,ssp245
2038,14.47714519349995,ssp245
2039,14.481105521516099,ssp245
2040,14.503363183530553,ssp245
2041,14.46025308997423,ssp245
2042,14.396733672037442,ssp245
2043,14.527425907054408,ssp245
2044,14.534363473376914,ssp245
2045,14.629393469240938,ssp245
2046,14.843406829014214,ssp245
2047,14.665934914731963,ssp245
2048,14.856862811977464,ssp245
2049,14.865622854732521,ssp245
2050,14.782945318751672,ssp245
2051,14.893794435312714,ssp245
2052,14.947493682082097,ssp245
2053,14.77249192340804,ssp245
2054,14.88971461630905,ssp245
2055,14.846668812476366,ssp245
2056,14.776194096239522,ssp245
2057,14.992766111037099,ssp245
2058,15.096308599655515,ssp245
2059,14.883244671186048,ssp245
2060,15.010759400399877,ssp245
2061,15.113724324830969,ssp245
2062,15.070167260396317,ssp245
2063,14.994734014694927,ssp245
2064,15.113393711896776,ssp245
2065,15.232626769394358,ssp245
2066,15.167043116218508,ssp245
2067,15.076629677967958,ssp245
2068,15.095832407586215,ssp245
2069,15.187615157978598,ssp245
2070,15.242014196552702,ssp245
2071,15.311945757368392,ssp245
2072,15.409117966487088,ssp245
2073,15.481519657471097,ssp245
2074,15.220447860562274,ssp245
2075,15.311627528122017,ssp245
2076,15.405733717472515,ssp245
2077,15.430074470447892,ssp245
2078,15.622690530273871,ssp245
2079,15.413553615406101,ssp245
2080,15.402560992232509,ssp245
2081,15.226045768487836,ssp245
2082,15.3742202059546,ssp245
2083,15.43482316154524,ssp245
2084,15.7049397318454,ssp245
2085,15.797195339072516,ssp245
2086,15.386478021853009,ssp245
2087,15.666930018613755,ssp245
2088,15.867094942146139,ssp245
2089,15.653186563997622,ssp245
2090,15.656606839149163,ssp245
2091,15.826491027262762,ssp245
2092,15.765345910282747,ssp245
2093,15.581709937385938,ssp245
2094,15.6444444777498,ssp245
2095,15.865730820474369,ssp245
2096,15.862940985493083,ssp245
2097,15.794102974395344,ssp245
2098,15.864661385411694,ssp245
2099,15.778075165296343,ssp245
2100,15.79340538179656,ssp245
2015,13.741737365226015,ssp585
2016,13.708645195260203,ssp585
2017,13.84936478877114,ssp585
2018,13.94576190186632,ssp585
2019,13.848933978210027,ssp585
2020,13.768825658793105,ssp585
2021,13.91007888408393,ssp585
2022,14.092567195600566,ssp585
2023,14.046802453138184,ssp585
2024,14.07801430919443,ssp585
2025,14.078252411083724,ssp585
2026,14.18385142592598,ssp585
2027,14.274174552332738,ssp585
2028,14.142664065163956,ssp585
2029,14.262705467512944,ssp585
2030,14.300700077318027,ssp585
2031,14.298809850769032,ssp585
2032,14.385626700380044,ssp585
2033,14.30382165495763,ssp585
2034,14.433713540455642,ssp585
2035,14.470844191841707,ssp585
2036,14.498843739076449,ssp585
2037,14.461135303488447,ssp585
2038,14.648964249941173,ssp585
2039,14.716587587485321,ssp585
2040,14.556263857596662,ssp585
2041,14.708955536616486,ssp585
2042,14.942823409027312,ssp585
2043,14.743892772071433,ssp585
2044,14.866939576566153,ssp585
2045,14.901524839729802,ssp585
2046,14.990602030382945,ssp585
2047,14.926526993208256,ssp585
2048,15.070821365440622,ssp585
2049,15.215059553130402,ssp585
2050,15.18692990351741,ssp585
2051,15.254735810564341,ssp585
2052,15.520037975151581,ssp585
2053,15.325500499362931,ssp585
2054,15.568090085832011,ssp585
2055,15.592217840599687,ssp585
2056,15.473461583661333,ssp585
2057,15.583904150060164,ssp585
2058,15.647713445876036,ssp585
2059,15.78839435832407,ssp585
2060,15.918653338706179,ssp585
2061,15.780493303689298,ssp585
2062,15.868322238937708,ssp585
2063,16.026522865708728,ssp585
2064,16.028166178219806,ssp585
2065,15.974270579361246,ssp585
2066,16.133134625684647,ssp585
2067,16.193806054263007,ssp585
2068,16.344840045402066,ssp585
2069,16.128964217628265,ssp585
2070,16.289825012705194,ssp585
2071,16.238181996404762,ssp585
2072,16.38393280418086,ssp585
2073,16.41889367049373,ssp585
2074,16.274544046805715,ssp585
2075,16.307480868629682,ssp585
2076,16.597521649953364,ssp585
2077,16.479458583972928,ssp585
2078,16.55677720592996,ssp585
2079,16.90385518559242,ssp585
2080,16.95729259819126,ssp585
2081,17.12777656103185,ssp585
2082,17.189301481848474,ssp585
2083,17.068554140238007,ssp585
2084,16.95340656088416,ssp585
2085,17.172129146414193,ssp585
2086,17.193223574263982,ssp585
2087,17.119451432933943,ssp585
2088,17.351747498663144,ssp585
2089,17.302772136489693,ssp585
2090,17.401152076777237,ssp585
2091,17.431827459874114,ssp585
2092,17.58335102800737,ssp585
2093,17.783130751812394,ssp585
2094,17.517923630451037,ssp585
2095,17.729592898977387,ssp585
2096,17.91800066251062,ssp585
2097,18.03867176918061,ssp585
2098,17.902243308705124,ssp585
2099,17.84097526276821,ssp585
2100,18.007608564743975,ssp585
