year,fgco2,scenario
2040,9.663343601289723,ssp245
2041,10.078386172057364,ssp245
2042,10.076083042672492,ssp245
2043,10.071818381984036,ssp245
2044,10.015313455870043,ssp245
2045,9.973257475424852,ssp245
2046,10.260167540209933,ssp245
2047,9.927939208428368,ssp245
2048,9.961659055870912,ssp245
2049,10.342755239280725,ssp245
2050,10.28910627992626,ssp245
2051,10.156610938554824,ssp245
2052,10.309751664265821,ssp245
2053,10.865004811265285,ssp245
2054,10.598597694209209,ssp245
2055,10.136419921505606,ssp245
2056,10.550769061737418,ssp245
2057,10.089400381040493,ssp245
2058,9.333360189224118,ssp245
2059,9.709458673660896,ssp245
2060,10.572446674228797,ssp245
2061,10.647169597032049,ssp245
2062,9.920473064070034,ssp245
2063,9.466045983912405,ssp245
2064,10.517723763749666,ssp245
2065,9.854993308391018,ssp245
2066,9.472975706507514,ssp245
2067,9.926278941299893,ssp245
2068,10.178658328700386,ssp245
2069,9.903165655871828,ssp245
2070,9.00161224994924,ssp245
2071,9.034369555995465,ssp245
2072,9.560357066147851,ssp245
2073,9.69383652163343,ssp245
2074,9.179609875773115,ssp245
2075,9.634276978070686,ssp245
2076,9.753074553330089,ssp245
2077,9.07540626418492,ssp245
2078,9.082546005490746,ssp245
2079,8.854137208974782,ssp245
2080,8.736824021638874,ssp245
2081,8.47669529010566,ssp245
2082,8.711452852324358,ssp245
2083,8.76036332301073,ssp245
2084,8.487625673945029,ssp245
2085,8.19239066351713,ssp245
2086,8.650237604328128,ssp245
2087,7.648275196061092,ssp245
2088,7.407611692395101,ssp245
2089,8.586084660844145,ssp245
2090,7.7754477667692345,ssp245
2091,7.469317906640068,ssp245
2092,7.823449111743417,ssp245
2093,7.769471519844792,ssp245
2094,7.400674865198392,ssp245
2095,7.29467477716901,ssp245
2096,7.216928489406423,ssp245
2097,7.3292348404094,ssp245
2098,7.516293924758619,ssp245
2099,6.385227870469111,ssp245
2100,7.0726537843741,ssp245
2015,6.811069242143529,ssp585
2016,7.024696723617231,ssp585
2017,8.141129773128036,ssp585
2018,8.41972769889734,ssp585
2019,8.427687959280627,ssp585
2020,8.06237133865579,ssp585
2021,8.691133022713185,ssp585
2022,8.594837730741368,ssp585
2023,8.500537236365004,ssp585
2024,8.775496538901956,ssp585
2025,9.324453052816747,ssp585
2026,9.53319103351756,ssp585
2027,9.441921842238562,ssp585
2028,10.149817118394203,ssp585
2029,10.500584376278502,ssp585
2030,9.914797698334082,ssp585
2031,10.0938834474031,ssp585
2032,10.58637040410915,ssp585
2033,10.725592558683504,ssp585
2034,10.762602868903334,ssp585
2035,10.797706447545428,ssp585
2036,11.400006132465382,ssp585
2037,12.077848952035474,ssp585
2038,11.858906921870584,ssp585
2039,12.048027419190534,ssp585
2040,12.337977275473127,ssp585
2041,12.382645122637943,ssp585
2042,12.5753217086733,ssp585
2043,12.986520433016851,ssp585
2044,13.021002515926885,ssp585
2045,13.27952653600691,ssp585
2046,12.918839676229602,ssp585
2047,13.291141273805627,ssp585
2048,13.610946861345251,ssp585
2049,14.05361291648747,ssp585
2050,13.426423601178398,ssp585
2051,13.703714440185196,ssp585
2052,14.186562715892697,ssp585
2053,14.692467850430385,ssp585
2054,14.63578143018572,ssp585
2055,15.098568499316949,ssp585
2056,14.909327134245968,ssp585
2057,14.862994054107581,ssp585
2058,15.593298478455633,ssp585
2059,15.97082343962482,ssp585
2060,15.896181737749504,ssp585
2061,15.583294094181298,ssp585
2062,16.74481197605313,ssp585
2063,16.05664585790314,ssp585
2064,16.54323128478103,ssp585
2065,16.96360691451392,ssp585
2066,16.823162021658415,ssp585
2067,16.832147666798416,ssp585
2068,16.789891079553485,ssp585
2069,16.798313201687666,ssp585
2070,16.977465736638788,ssp585
2071,17.669336245879208,ssp585
2072,16.99060040908353,ssp585
2073,17.359880335080955,ssp585
2074,18.231328339786305,ssp585
2075,17.676871859600766,ssp585
2076,17.204807438552873,ssp585
2077,17.462144811799504,ssp585
2078,17.775743491064347,ssp585
2079,18.092606412755437,ssp585
2080,18.231721405993436,ssp585
2081,18.24306671873667,ssp585
2082,18.267971210125715,ssp585
2083,17.439668770777747,ssp585
2084,18.05728653919006,ssp585
2085,17.667107886728786,ssp585
2086,17.902006504051414,ssp585
2087,18.030420566427622,ssp585
2088,17.578186546061804,ssp585
2089,17.44635957319803,ssp585
2090,18.19468520485388,ssp585
2091,17.811954762685854,ssp585
2092,18.063984985316893,ssp585
2093,17.96111457713737,ssp585
2094,17.396379391785835,ssp585
2095,17.288189760910946,ssp585
2096,17.675161266914603,ssp585
2097,17.51027855930701,ssp585
2098,17.32339011759555,ssp585
2099,17.54637888889421,ssp585
2100,16.902635846071092,ssp585
